school_name,district,city,channel_group,utm_source,utm_medium,utm_campaign,utm_content,apply_url,message_sms,message_whatsapp,missing_in_campaign,missing_in_same_day_attr,priority_reason,send_owner,send_channel_actual,sent_at,delivery_proof,status
Büyük Sinan Mehmet Fatma Dalan İlkokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-buyuk-sinan-mehmet-fatma-dalan-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-buyuk-sinan-mehmet-fatma-dalan-ilkokulu&utm_term=karatay,"Merhaba Büyük Sinan Mehmet Fatma Dalan İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-buyuk-sinan-mehmet-fatma-dalan-ilkokulu&utm_term=karatay","Merhaba Büyük Sinan Mehmet Fatma Dalan İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-buyuk-sinan-mehmet-fatma-dalan-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Celaleddin Karatay Tarım Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-celaleddin-karatay-tarim-mesleki-ve-teknik-anadolu-lisesi,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-celaleddin-karatay-tarim-mesleki-ve-teknik-anadolu-lisesi&utm_term=karatay,"Merhaba Celaleddin Karatay Tarım Mesleki ve Teknik Anadolu Lisesi velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-celaleddin-karatay-tarim-mesleki-ve-teknik-anadolu-lisesi&utm_term=karatay","Merhaba Celaleddin Karatay Tarım Mesleki ve Teknik Anadolu Lisesi velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-celaleddin-karatay-tarim-mesleki-ve-teknik-anadolu-lisesi&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Çatalhüyük Münise Lütfi Onat İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-catalhuyuk-munise-lutfi-onat-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-catalhuyuk-munise-lutfi-onat-ilkokulu&utm_term=karatay,"Merhaba Çatalhüyük Münise Lütfi Onat İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-catalhuyuk-munise-lutfi-onat-ilkokulu&utm_term=karatay","Merhaba Çatalhüyük Münise Lütfi Onat İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-catalhuyuk-munise-lutfi-onat-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Doktor Sedat Yüksel İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-doktor-sedat-yuksel-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-doktor-sedat-yuksel-ilkokulu&utm_term=karatay,"Merhaba Doktor Sedat Yüksel İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-doktor-sedat-yuksel-ilkokulu&utm_term=karatay","Merhaba Doktor Sedat Yüksel İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-doktor-sedat-yuksel-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Dr.Ali Rıza Bahadır Kız Anadolu İmam Hatip Lisesi,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-dr-ali-riza-bahadir-kiz-anadolu-imam-hatip-lisesi,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-dr-ali-riza-bahadir-kiz-anadolu-imam-hatip-lisesi&utm_term=karatay,"Merhaba Dr.Ali Rıza Bahadır Kız Anadolu İmam Hatip Lisesi velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-dr-ali-riza-bahadir-kiz-anadolu-imam-hatip-lisesi&utm_term=karatay","Merhaba Dr.Ali Rıza Bahadır Kız Anadolu İmam Hatip Lisesi velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-dr-ali-riza-bahadir-kiz-anadolu-imam-hatip-lisesi&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Fetihkent İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-fetihkent-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-fetihkent-imam-hatip-ortaokulu&utm_term=karatay,"Merhaba Fetihkent İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-fetihkent-imam-hatip-ortaokulu&utm_term=karatay","Merhaba Fetihkent İmam Hatip Ortaokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-fetihkent-imam-hatip-ortaokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Göçü Ortaokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-gocu-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-gocu-ortaokulu&utm_term=karatay,"Merhaba Göçü Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-gocu-ortaokulu&utm_term=karatay","Merhaba Göçü Ortaokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-gocu-ortaokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Hacı Sadık İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-haci-sadik-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-haci-sadik-ilkokulu&utm_term=karatay,"Merhaba Hacı Sadık İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-haci-sadik-ilkokulu&utm_term=karatay","Merhaba Hacı Sadık İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-haci-sadik-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Hacı Yusuf Mescit Ahmet Haşhaş İlkokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-haci-yusuf-mescit-ahmet-hashas-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-haci-yusuf-mescit-ahmet-hashas-ilkokulu&utm_term=karatay,"Merhaba Hacı Yusuf Mescit Ahmet Haşhaş İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-haci-yusuf-mescit-ahmet-hashas-ilkokulu&utm_term=karatay","Merhaba Hacı Yusuf Mescit Ahmet Haşhaş İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-haci-yusuf-mescit-ahmet-hashas-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Halil Bahçeci İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-halil-bahceci-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-halil-bahceci-ilkokulu&utm_term=karatay,"Merhaba Halil Bahçeci İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-halil-bahceci-ilkokulu&utm_term=karatay","Merhaba Halil Bahçeci İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-halil-bahceci-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
