school_name,district,city,channel_group,utm_source,utm_medium,utm_campaign,utm_content,apply_url,message_sms,message_whatsapp,missing_in_campaign,missing_in_same_day_attr,priority_reason,send_owner,send_channel_actual,sent_at,delivery_proof,status
Şehit Azam Güdendede Anadolu Lisesi,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-sehit-azam-gudendede-anadolu-lisesi,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-sehit-azam-gudendede-anadolu-lisesi&utm_term=karatay,"Merhaba Şehit Azam Güdendede Anadolu Lisesi velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-sehit-azam-gudendede-anadolu-lisesi&utm_term=karatay","Merhaba Şehit Azam Güdendede Anadolu Lisesi velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-sehit-azam-gudendede-anadolu-lisesi&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
ŞEHİT ÜSTEĞMEN MEHMET DÜZENLİ İMAM HATİP ORTAOKULU,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-sehit-ustegmen-mehmet-duzenli-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-sehit-ustegmen-mehmet-duzenli-imam-hatip-ortaokulu&utm_term=karatay,"Merhaba ŞEHİT ÜSTEĞMEN MEHMET DÜZENLİ İMAM HATİP ORTAOKULU velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-sehit-ustegmen-mehmet-duzenli-imam-hatip-ortaokulu&utm_term=karatay","Merhaba ŞEHİT ÜSTEĞMEN MEHMET DÜZENLİ İMAM HATİP ORTAOKULU velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-sehit-ustegmen-mehmet-duzenli-imam-hatip-ortaokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Şekibe Aksoy İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-sekibe-aksoy-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-sekibe-aksoy-ilkokulu&utm_term=karatay,"Merhaba Şekibe Aksoy İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-sekibe-aksoy-ilkokulu&utm_term=karatay","Merhaba Şekibe Aksoy İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-sekibe-aksoy-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Tatlıcak Ortaokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-tatlicak-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-tatlicak-ortaokulu&utm_term=karatay,"Merhaba Tatlıcak Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-tatlicak-ortaokulu&utm_term=karatay","Merhaba Tatlıcak Ortaokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-tatlicak-ortaokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Türk Anadolu Vakfı Hafız Kız Anadolu İmam Hatip Lisesi,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-turk-anadolu-vakfi-hafiz-kiz-anadolu-imam-hatip-lisesi,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-turk-anadolu-vakfi-hafiz-kiz-anadolu-imam-hatip-lisesi&utm_term=karatay,"Merhaba Türk Anadolu Vakfı Hafız Kız Anadolu İmam Hatip Lisesi velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-turk-anadolu-vakfi-hafiz-kiz-anadolu-imam-hatip-lisesi&utm_term=karatay","Merhaba Türk Anadolu Vakfı Hafız Kız Anadolu İmam Hatip Lisesi velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-turk-anadolu-vakfi-hafiz-kiz-anadolu-imam-hatip-lisesi&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Ulubatlı Hasan İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-ulubatli-hasan-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-ulubatli-hasan-imam-hatip-ortaokulu&utm_term=karatay,"Merhaba Ulubatlı Hasan İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-ulubatli-hasan-imam-hatip-ortaokulu&utm_term=karatay","Merhaba Ulubatlı Hasan İmam Hatip Ortaokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-ulubatli-hasan-imam-hatip-ortaokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Yağlıbayat Ortaokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-yaglibayat-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yaglibayat-ortaokulu&utm_term=karatay,"Merhaba Yağlıbayat Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yaglibayat-ortaokulu&utm_term=karatay","Merhaba Yağlıbayat Ortaokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yaglibayat-ortaokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Yarma İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-yarma-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yarma-ilkokulu&utm_term=karatay,"Merhaba Yarma İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yarma-ilkokulu&utm_term=karatay","Merhaba Yarma İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yarma-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Yarma Ortaokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-yarma-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yarma-ortaokulu&utm_term=karatay,"Merhaba Yarma Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yarma-ortaokulu&utm_term=karatay","Merhaba Yarma Ortaokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yarma-ortaokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
Yenikent İlkokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-yenikent-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yenikent-ilkokulu&utm_term=karatay,"Merhaba Yenikent İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yenikent-ilkokulu&utm_term=karatay","Merhaba Yenikent İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-yenikent-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",YES,YES,URGENT_NO_ATTRIBUTION,,,,,READY_TO_SEND_TODAY
