school_name,district,city,channel_group,utm_source,utm_medium,utm_campaign,utm_content,apply_url,message_whatsapp,message_sms,send_owner,sent_at,delivery_proof,status
15 Temmuz Şehitleri İlkokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-15-temmuz-sehitleri-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-15-temmuz-sehitleri-ilkokulu&utm_term=meram,"Merhaba 15 Temmuz Şehitleri İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-15-temmuz-sehitleri-ilkokulu&utm_term=meram Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba 15 Temmuz Şehitleri İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-15-temmuz-sehitleri-ilkokulu&utm_term=meram",,,,READY_TO_SEND_TODAY
Ahmet Naci Gücüyener İlkokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-ahmet-naci-gucuyener-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-naci-gucuyener-ilkokulu&utm_term=meram,"Merhaba Ahmet Naci Gücüyener İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-naci-gucuyener-ilkokulu&utm_term=meram Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba Ahmet Naci Gücüyener İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-naci-gucuyener-ilkokulu&utm_term=meram",,,,READY_TO_SEND_TODAY
Alakova Ortaokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-alakova-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-alakova-ortaokulu&utm_term=meram,"Merhaba Alakova Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-alakova-ortaokulu&utm_term=meram Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba Alakova Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-alakova-ortaokulu&utm_term=meram",,,,READY_TO_SEND_TODAY
Ali İhsan Dayıoğlugil İlkokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-ali-ihsan-dayioglugil-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ali-ihsan-dayioglugil-ilkokulu&utm_term=meram,"Merhaba Ali İhsan Dayıoğlugil İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ali-ihsan-dayioglugil-ilkokulu&utm_term=meram Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba Ali İhsan Dayıoğlugil İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ali-ihsan-dayioglugil-ilkokulu&utm_term=meram",,,,READY_TO_SEND_TODAY
Ayşe Hüseyin Özkan İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-ayse-huseyin-ozkan-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-ayse-huseyin-ozkan-ilkokulu&utm_term=karatay,"Merhaba Ayşe Hüseyin Özkan İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-ayse-huseyin-ozkan-ilkokulu&utm_term=karatay Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba Ayşe Hüseyin Özkan İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-ayse-huseyin-ozkan-ilkokulu&utm_term=karatay",,,,READY_TO_SEND_TODAY
Bozkırlılar Vakfı İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-bozkirlilar-vakfi-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-bozkirlilar-vakfi-imam-hatip-ortaokulu&utm_term=karatay,"Merhaba Bozkırlılar Vakfı İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-bozkirlilar-vakfi-imam-hatip-ortaokulu&utm_term=karatay Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba Bozkırlılar Vakfı İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-bozkirlilar-vakfi-imam-hatip-ortaokulu&utm_term=karatay",,,,READY_TO_SEND_TODAY
Çatalhüyük Melikşah İlkokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-catalhuyuk-meliksah-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-catalhuyuk-meliksah-ilkokulu&utm_term=karatay,"Merhaba Çatalhüyük Melikşah İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-catalhuyuk-meliksah-ilkokulu&utm_term=karatay Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba Çatalhüyük Melikşah İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-catalhuyuk-meliksah-ilkokulu&utm_term=karatay",,,,READY_TO_SEND_TODAY
Fetihkent İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-fetihkent-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-fetihkent-imam-hatip-ortaokulu&utm_term=karatay,"Merhaba Fetihkent İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-fetihkent-imam-hatip-ortaokulu&utm_term=karatay Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba Fetihkent İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-fetihkent-imam-hatip-ortaokulu&utm_term=karatay",,,,READY_TO_SEND_TODAY
Gevher Nesibe Hatun İmam Hatip Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-gevher-nesibe-hatun-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-gevher-nesibe-hatun-imam-hatip-ortaokulu&utm_term=karatay,"Merhaba Gevher Nesibe Hatun İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-gevher-nesibe-hatun-imam-hatip-ortaokulu&utm_term=karatay Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba Gevher Nesibe Hatun İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-gevher-nesibe-hatun-imam-hatip-ortaokulu&utm_term=karatay",,,,READY_TO_SEND_TODAY
Hacı Sadık İlkokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-haci-sadik-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-haci-sadik-ilkokulu&utm_term=karatay,"Merhaba Hacı Sadık İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-haci-sadik-ilkokulu&utm_term=karatay Sorulariniz icin bu numaraya yazabilirsiniz.","Merhaba Hacı Sadık İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-haci-sadik-ilkokulu&utm_term=karatay",,,,READY_TO_SEND_TODAY
